Tooling,,,,,
,Wireframing,InDesign,,,
,,Photoshop,,,
,Prototyping,Bootstrap,http://getbootstrap.com/,,
,,Jquery UI,,,
,,Paper,,,
,,Pea.rs,http://pea.rs,HTML Patterns,
,,,,,
,UI Design,Style Tiles,http://styletil.es/,,
,,Customized Bootstrap,http://getbootstrap.com/customize/,,
,,Photoshop,,,
,Coding,SublimeText(free version) w/ Plugins,http://www.sublimetext.com/3,,
,(any or all depends on project),Emmet,,,
,,Fetch Files,,,
,,Sidebar Enhancements,,,
,,Linter,,,
,,Gists,,,
,,DocBlockr,,,
,,LiveReload,,,
,,JetBrains Webstorm,https://www.jetbrains.com/webstorm/,,
,,Eclipse ,https://www.eclipse.org/downloads/packages/eclipse-php-developers/lunasr2,,
,,Netbeans,https://netbeans.org/,,
,,Notepad++,,"last used 2007, basic plugins, No Zen Coding",
,Environment,MAMP or LAMP,,,
,,NodeJS +  Express,,,
,Testing,Mocha,,,
,,Jasmine,,,
,Libraries,Jquery ,,,
,,Underscore,,,
,,Angular,,,
,,Laravel,http://laravel.com/,,
,,SlimFramework,www.slimframework.com/,,
,,SASS,,,
,Scaffolding,Yeoman,,,
,,BoilerPlate,,,
,,Google Dev,,,
,Content Management,Wordpress,,,
,,Drupal,,,
,Task Runner,Gulp,,,
,,Grunt,replaced by GULP,,
,,Bash,,,
